time_us,sda,scl,note
1782.50,1,0,
1787.50,0,0,
1787.50,0,1,
1792.50,0,0,
1797.50,1,0,
1797.50,1,1,
1802.50,1,0,
1807.50,0,0,
1807.50,0,1,
1812.50,0,0,
1817.50,0,0,
1817.50,0,1,
1822.50,0,0,
1827.50,0,0,
1827.50,0,1,
1832.50,0,0,
1837.50,0,0,
1837.50,0,1,
1842.50,0,0,
1847.50,0,0,
1847.50,0,1,
1852.50,0,0,
1857.50,1,0,
1857.50,1,1,
1862.50,1,0,
1865.00,1,0,
1870.00,0,0,
1870.00,0,1,
1880.00,1,1,
1885.00,1,1,
1890.00,0,1,
1890.00,0,0,
1892.50,1,0,
1892.50,1,1,
1897.50,1,0,
1902.50,0,0,
1902.50,0,1,
1907.50,0,0,
1912.50,1,0,
1912.50,1,1,
1917.50,1,0,
1922.50,0,0,
1922.50,0,1,
1927.50,0,0,
1932.50,0,0,
1932.50,0,1,
1937.50,0,0,
1942.50,0,0,
1942.50,0,1,
1947.50,0,0,
1952.50,0,0,
1952.50,0,1,
1957.50,0,0,
1962.50,0,0,
1962.50,0,1,
1967.50,0,0,
1972.50,1,0,
1972.50,1,1,
1977.50,1,0,
1980.00,1,0,
1985.00,0,0,
1985.00,0,1,
1995.00,1,1,
2000.00,1,1,
2005.00,0,1,
2005.00,0,0,
2007.50,1,0,
2007.50,1,1,
2012.50,1,0,
2017.50,0,0,
2017.50,0,1,
2022.50,0,0,
2027.50,1,0,
2027.50,1,1,
2032.50,1,0,
2037.50,0,0,
2037.50,0,1,
2042.50,0,0,
2047.50,0,0,
2047.50,0,1,
2052.50,0,0,
2057.50,0,0,
2057.50,0,1,
2062.50,0,0,
2067.50,0,0,
2067.50,0,1,
2072.50,0,0,
2077.50,0,0,
2077.50,0,1,
2082.50,0,0,
2087.50,1,0,
2087.50,1,1,
2092.50,1,0,
2095.00,1,0,
2100.00,0,0,
2100.00,0,1,
2110.00,1,1,
2115.00,1,1,
2120.00,0,1,
2120.00,0,0,
2122.50,1,0,
2122.50,1,1,
2127.50,1,0,
2132.50,0,0,
2132.50,0,1,
2137.50,0,0,
2142.50,1,0,
2142.50,1,1,
2147.50,1,0,
2152.50,0,0,
2152.50,0,1,
2157.50,0,0,
2162.50,0,0,
2162.50,0,1,
2167.50,0,0,
2172.50,0,0,
2172.50,0,1,
2177.50,0,0,
2182.50,0,0,
2182.50,0,1,
2187.50,0,0,
2192.50,0,0,
2192.50,0,1,
2197.50,0,0,
2202.50,1,0,
2202.50,1,1,
2207.50,1,0,
2210.00,1,0,
2215.00,0,0,
2215.00,0,1,
2225.00,1,1,
2230.00,1,1,
2235.00,0,1,
2235.00,0,0,
2237.50,1,0,
2237.50,1,1,
2242.50,1,0,
2247.50,0,0,
2247.50,0,1,
2252.50,0,0,
2257.50,1,0,
2257.50,1,1,
2262.50,1,0,
2267.50,0,0,
2267.50,0,1,
2272.50,0,0,
2277.50,0,0,
2277.50,0,1,
2282.50,0,0,
2287.50,0,0,
2287.50,0,1,
2292.50,0,0,
2297.50,0,0,
2297.50,0,1,
2302.50,0,0,
2307.50,0,0,
2307.50,0,1,
2312.50,0,0,
2317.50,1,0,
2317.50,1,1,
2322.50,1,0,
2325.00,1,0,
2330.00,0,0,
2330.00,0,1,
2340.00,1,1,
2345.00,1,1,
2350.00,0,1,
2350.00,0,0,
2352.50,1,0,
2352.50,1,1,
2357.50,1,0,
2362.50,0,0,
2362.50,0,1,
2367.50,0,0,
2372.50,1,0,
2372.50,1,1,
2377.50,1,0,
2382.50,0,0,
2382.50,0,1,
2387.50,0,0,
2392.50,0,0,
2392.50,0,1,
2397.50,0,0,
2402.50,0,0,
2402.50,0,1,
2407.50,0,0,
2412.50,0,0,
2412.50,0,1,
2417.50,0,0,
2422.50,0,0,
2422.50,0,1,
2427.50,0,0,
2432.50,1,0,
2432.50,1,1,
2437.50,1,0,
2440.00,1,0,
2445.00,0,0,
2445.00,0,1,
2455.00,1,1,
2460.00,1,1,
2465.00,0,1,
2465.00,0,0,
2467.50,1,0,
2467.50,1,1,
2472.50,1,0,
2477.50,0,0,
2477.50,0,1,
2482.50,0,0,
2487.50,1,0,
2487.50,1,1,
2492.50,1,0,
2497.50,0,0,
2497.50,0,1,
2502.50,0,0,
2507.50,0,0,
2507.50,0,1,
2512.50,0,0,
2517.50,0,0,
2517.50,0,1,
2522.50,0,0,
2527.50,0,0,
2527.50,0,1,
2532.50,0,0,
2537.50,0,0,
2537.50,0,1,
2542.50,0,0,
2547.50,1,0,
2547.50,1,1,
2552.50,1,0,
2555.00,1,0,
2560.00,0,0,
2560.00,0,1,
2570.00,1,1,
2575.00,1,1,
2580.00,0,1,
2580.00,0,0,
2582.50,1,0,
2582.50,1,1,
2587.50,1,0,
2592.50,0,0,
2592.50,0,1,
2597.50,0,0,
2602.50,1,0,
2602.50,1,1,
2607.50,1,0,
2612.50,0,0,
2612.50,0,1,
2617.50,0,0,
2622.50,0,0,
2622.50,0,1,
2627.50,0,0,
2632.50,0,0,
2632.50,0,1,
2637.50,0,0,
2642.50,0,0,
2642.50,0,1,
2647.50,0,0,
2652.50,0,0,
2652.50,0,1,
2657.50,0,0,
2662.50,1,0,
2662.50,1,1,
2667.50,1,0,
2670.00,1,0,
2675.00,0,0,
2675.00,0,1,
2685.00,1,1,
2690.00,1,1,
2695.00,0,1,
2695.00,0,0,
2697.50,1,0,
2697.50,1,1,
2702.50,1,0,
2707.50,0,0,
2707.50,0,1,
2712.50,0,0,
2717.50,1,0,
2717.50,1,1,
2722.50,1,0,
2727.50,0,0,
2727.50,0,1,
2732.50,0,0,
2737.50,0,0,
2737.50,0,1,
2742.50,0,0,
2747.50,0,0,
2747.50,0,1,
2752.50,0,0,
2757.50,0,0,
2757.50,0,1,
2762.50,0,0,
2767.50,0,0,
2767.50,0,1,
2772.50,0,0,
2777.50,1,0,
2777.50,1,1,
2782.50,1,0,
2785.00,1,0,
2790.00,0,0,
2790.00,0,1,
2800.00,1,1,
2805.00,1,1,
2810.00,0,1,
2810.00,0,0,
2812.50,1,0,
2812.50,1,1,
2817.50,1,0,
2822.50,0,0,
2822.50,0,1,
2827.50,0,0,
2832.50,1,0,
2832.50,1,1,
2837.50,1,0,
2842.50,0,0,
2842.50,0,1,
2847.50,0,0,
2852.50,0,0,
2852.50,0,1,
2857.50,0,0,
2862.50,0,0,
2862.50,0,1,
2867.50,0,0,
2872.50,0,0,
2872.50,0,1,
2877.50,0,0,
2882.50,0,0,
2882.50,0,1,
2887.50,0,0,
2892.50,1,0,
2892.50,1,1,
2897.50,1,0,
2900.00,1,0,
2905.00,0,0,
2905.00,0,1,
2915.00,1,1,
2920.00,1,1,
2925.00,0,1,
2925.00,0,0,
2927.50,1,0,
2927.50,1,1,
2932.50,1,0,
2937.50,0,0,
2937.50,0,1,
2942.50,0,0,
2947.50,1,0,
2947.50,1,1,
2952.50,1,0,
2957.50,0,0,
2957.50,0,1,
2962.50,0,0,
2967.50,0,0,
2967.50,0,1,
2972.50,0,0,
2977.50,0,0,
2977.50,0,1,
2982.50,0,0,
2987.50,0,0,
2987.50,0,1,
2992.50,0,0,
2997.50,0,0,
2997.50,0,1,
3002.50,0,0,
3007.50,1,0,
3007.50,1,1,
3012.50,1,0,
3015.00,1,0,
3020.00,0,0,
3020.00,0,1,
3030.00,1,1,
3035.00,1,1,
3040.00,0,1,
3040.00,0,0,
3042.50,1,0,
3042.50,1,1,
3047.50,1,0,
3052.50,0,0,
3052.50,0,1,
3057.50,0,0,
3062.50,1,0,
3062.50,1,1,
3067.50,1,0,
3072.50,0,0,
3072.50,0,1,
3077.50,0,0,
3082.50,0,0,
3082.50,0,1,
3087.50,0,0,
3092.50,0,0,
3092.50,0,1,
3097.50,0,0,
3102.50,0,0,
3102.50,0,1,
3107.50,0,0,
3112.50,0,0,
3112.50,0,1,
3117.50,0,0,
3122.50,1,0,
3122.50,1,1,
3127.50,1,0,
3130.00,1,0,
3135.00,0,0,
3135.00,0,1,
3145.00,1,1,
3150.00,1,1,
3155.00,0,1,
3155.00,0,0,
3157.50,1,0,
3157.50,1,1,
3162.50,1,0,
3167.50,0,0,
3167.50,0,1,
3172.50,0,0,
3177.50,1,0,
3177.50,1,1,
3182.50,1,0,
3187.50,0,0,
3187.50,0,1,
3192.50,0,0,
3197.50,0,0,
3197.50,0,1,
3202.50,0,0,
3207.50,0,0,
3207.50,0,1,
3212.50,0,0,
3217.50,0,0,
3217.50,0,1,
3222.50,0,0,
3227.50,0,0,
3227.50,0,1,
3232.50,0,0,
3237.50,1,0,
3237.50,1,1,
3242.50,1,0,
3245.00,1,0,
3250.00,0,0,
3250.00,0,1,
3260.00,1,1,
3265.00,1,1,
3270.00,0,1,
3270.00,0,0,
3272.50,1,0,
3272.50,1,1,
3277.50,1,0,
3282.50,0,0,
3282.50,0,1,
3287.50,0,0,
3292.50,1,0,
3292.50,1,1,
3297.50,1,0,
3302.50,0,0,
3302.50,0,1,
3307.50,0,0,
3312.50,0,0,
3312.50,0,1,
3317.50,0,0,
3322.50,0,0,
3322.50,0,1,
3327.50,0,0,
3332.50,0,0,
3332.50,0,1,
